"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.12177317510863e-20,0.625209412262368,0.415,0.176,3.68872673170971e-16,"2","Ric8a"
1.12553413900986e-20,0.960768483720398,0.359,0.146,3.70109390930613e-16,"2","LOC108348111"
1.13170821909205e-20,0.203156279695539,0.406,0.168,3.72139613684037e-16,"2","Fkbp5"
1.18732772020328e-20,0.497942357618856,0.49,0.219,3.90428974234444e-16,"2","Cir1"
1.28927233502198e-20,0.255966503582527,0.591,0.263,4.23951421925278e-16,"2","Sf3b2"
1.2971650362026e-20,0.182229802213024,0.527,0.238,4.26546778854502e-16,"2","Stk25"
1.29776223620728e-20,0.196989278002296,0.342,0.13,4.26743156132041e-16,"2","Slc35d2"
1.31445944177581e-20,0.376657745083146,0.451,0.195,4.32233698239139e-16,"2","Entpd4"
1.35261664897532e-20,0.545762160563377,0.339,0.131,4.44780932682554e-16,"2","Wdr12"
1.38234021926179e-20,0.226550710960636,0.462,0.202,4.54554934299856e-16,"2","Cep104"
1.42390485678222e-20,0.697545929437305,0.409,0.17,4.68222634055698e-16,"2","Atf6b"
1.437209873242e-20,0.240080477046284,0.669,0.322,4.72597722618167e-16,"2","Becn1"
1.46893690651387e-20,0.17950851096392,0.485,0.214,4.83030522968957e-16,"2","Osbpl2"
1.47514567333076e-20,0.336506933520725,0.639,0.306,4.85072151761355e-16,"2","Smim14"
1.50854639598245e-20,1.15981009961354,0.297,0.11,4.9605531139091e-16,"2","LOC100911769"
1.55087907878238e-20,0.738757111755976,0.311,0.114,5.0997556747601e-16,"2","Ercc3"
1.5521527664433e-20,0.682334664473831,0.314,0.118,5.10394394189549e-16,"2","Bloc1s4"
1.63028654466026e-20,0.427628313907367,0.569,0.265,5.36087124480633e-16,"2","Cdk16"
1.63052674934509e-20,0.781977309292981,0.398,0.166,5.36166110987146e-16,"2","Slc25a39"
1.65959095297201e-20,0.483342470768886,0.496,0.22,5.45723293065785e-16,"2","Psmd6"
1.66418822406591e-20,0.75458203205483,0.286,0.101,5.47235013719593e-16,"2","AABR07027407.1"
1.74792625475693e-20,0.16398148016123,0.401,0.165,5.74770590351722e-16,"2","Anapc10"
1.80228419930979e-20,0.458929617177603,0.751,0.388,5.92645113259037e-16,"2","Kif2a"
1.8529123920124e-20,0.105033486413617,0.389,0.159,6.09293181865439e-16,"2","Mtx1"
1.86442959503859e-20,0.466278079381755,0.286,0.1,6.13080383736539e-16,"2","Taz"
1.89180509189439e-20,0.315573789145523,0.331,0.124,6.22082268367633e-16,"2","Poc1b"
1.92323823582901e-20,0.550937971167253,0.375,0.154,6.32418429087653e-16,"2","Uqcc2"
2.02696859960781e-20,0.644024653825419,0.359,0.145,6.66528084609035e-16,"2","Chchd1"
2.0390469158286e-20,0.580585280583101,0.818,0.481,6.70499797331919e-16,"2","Ralgapa1"
2.05565751808835e-20,0.942798837766922,0.28,0.099,6.75961861672993e-16,"2","Pdrg1"
2.15067099669125e-20,0.311488753411682,0.636,0.305,7.07205143841985e-16,"2","Mapk9"
2.16308949659166e-20,0.280438215619988,0.597,0.276,7.11288719164237e-16,"2","Trir"
2.24934139060467e-20,0.529738119212773,0.415,0.177,7.39650929472534e-16,"2","Mkks"
2.34158316099668e-20,0.321834129277758,0.602,0.282,7.69982790830539e-16,"2","Wdr44"
2.41634975304096e-20,0.205736697058577,0.585,0.272,7.9456828929246e-16,"2","Arhgef25"
2.4418484695485e-20,1.40887417678147,0.266,0.093,8.02953032241634e-16,"2","Ttbk1"
2.45637709802161e-20,0.364388946338329,0.543,0.246,8.07730481142445e-16,"2","Mlf2"
2.55046411892744e-20,0.174384497059414,0.538,0.221,8.38669116226909e-16,"2","Cdipt"
2.60733076017578e-20,0.342398581845936,0.815,0.391,8.57368573868602e-16,"2","Nap1l1"
2.61217281936412e-20,0.31140848947226,0.392,0.163,8.58960788191505e-16,"2","Gcdh"
2.67329820656859e-20,0.436493629132638,0.782,0.421,8.79060649265949e-16,"2","Tmcc1"
2.67944714911357e-20,0.334389059108899,0.611,0.285,8.81082606043017e-16,"2","Ndufv2"
2.76329106175238e-20,0.941003127409278,0.294,0.109,9.08652999836035e-16,"2","Zbtb8os"
2.81877291777174e-20,0.157602327264625,0.294,0.104,9.26897098550882e-16,"2","Akt2"
2.84480446893381e-20,0.237087955137737,0.49,0.218,9.35457053519506e-16,"2","Npc1"
2.85428664656154e-20,0.46237492207164,0.51,0.23,9.38575077988832e-16,"2","LOC100359922"
2.85675823292948e-20,0.401550342510951,0.339,0.132,9.393878097342e-16,"2","Wdr35"
2.94778402743385e-20,0.353485578904183,0.431,0.186,9.69319821741072e-16,"2","LOC100360828"
3.08255826100136e-20,0.653782785170952,0.415,0.176,1.01363763296508e-15,"2","Ranbp1"
3.08669717908475e-20,0.312229584895269,0.599,0.27,1.01499863339844e-15,"2","Pigk"
3.11317692994289e-20,0.573026303576001,0.756,0.409,1.02370596987312e-15,"2","Kdm4c"
3.19765426717012e-20,0.163094210262396,0.305,0.109,1.05148465267355e-15,"2","Prpf38a"
3.19948767344772e-20,0.144477326775295,0.409,0.167,1.05208753165981e-15,"2","Tomm70"
3.30446153735552e-20,0.769593796328966,0.392,0.163,1.08660608732862e-15,"2","Prmt1"
3.35337800313408e-20,0.101282783443022,0.58,0.269,1.10269128877058e-15,"2","Togaram1"
3.36343749424275e-20,0.992484979033437,0.258,0.088,1.10599915123184e-15,"2","Etv5"
3.37854650084732e-20,0.346528729813924,0.773,0.367,1.11096744587362e-15,"2","Ube2m"
3.4504061628704e-20,1.1373899706883,0.314,0.123,1.13459705853667e-15,"2","St6galnac6"
